Mfg Part Num,Mfg Name,Viendor,Vendor Part Num,Description,Qty-1 board,Qty-10 boards,Part References,Part Value
68602-112HLF,FCI,Digikey,609-3363-ND,CONN HEADER 12POS .100 STR 30AU,1,10,DIO,
MPZ1608S101A,TDK Corporation,Digikey,445-1564-1-ND,FERRITE CHIP 100 OHM 3A 0603,2,20,"L1, L2",
NLC453232T-100K-PF,TDK Corporation,Digikey,445-1956-1-ND,INDUCTOR WW PWR 10UH 550MA 10%,1,10,L3,
PJ-102B,CUI Inc,Digikey,CP-102B-ND,CONN POWER JACK 2.5MM PCB CIRC,1,10,J1,
0805YA103JAT2A,AVX Corporation,Digikey,478-1334-1-ND,CAP CER 0.01uF 16V 5% NP0 0805,5,50,"C10, C11, C12, C13, C31",0.01uF
0805YA103JAT2A,AVX Corporation,Digikey,478-1334-1-ND,CAP CER 0.01uF 16V 5% NP0 0805,1,10,C39,0.01uF
LMK212SD104KG-T,Taiyo Yuden,Digikey,587-1134-1-ND,CAP CER 0.1UF 10V 10% 0805,19,190,"C2, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C27, C29, C32, C33, C34, C35, C36",0.1uF
ERJ-6GEYJ102V,Panasonic - ECG,Digikey,P1.0KACT-ND,RES 1.0K OHM 1/8W 5% 0805 SMD,2,20,"R1, R2",1K
C2012X7R1A105K,TDK Corporation,Digikey,445-1359-1-ND,CAP CER 1UF 10V 10% X7R 0805,4,40,"C24, C26, C28, C30",1uF
C2012X7R1A105K,TDK Corporation,Digikey,445-1359-1-ND,CAP CER 1UF 10V 10% X7R 0805,1,10,C40,1uF
ERJ-6ENF5101V,Panasonic - ECG,Digikey,P5.10KCCT-ND,RES 5.10K OHM 1/8W 1% 0805 SMD,5,50,"R8, R10, R12, R14, R16",4k
ERJ-6ENF1022V,Panasonic - ECG,Digikey,P10.2KCCT-ND,RES 10.2K OHM 1/8W 1% 0805 SMD,5,50,"R9, R11, R13, R15, R17",8k
ERJ-6GEYJ103V,Panasonic - ECG,Digikey,P10KACT-ND,RES 10K OHM 1/8W 5% 0805 SMD,3,30,"R3, R4, R5",10K
F951C106MPAAQ2,Nichicon,Digikey,493-2940-1-ND,CAP TANT 10UF 16V 20% 0805,8,80,"C3, C4, C5, C6, C7, C8, C9, C38",10uF
22-23-2021,Molex Inc,Digikey,WM4200-ND,CONN HEADER 2POS .100 VERT TIN,1,10,PSW,
22-23-2041,Molex Inc,Digikey,WM4202-ND,CONN HEADER 4POS .100 VERT TIN,2,20,"ENC-A, ENC-B",
"74HC595DB,112",NXP Semiconductors,Digikey,568-2720-5-ND,IC 8BIT SHIFT REGISTER 16-SSOP,2,20,"U12, U13",
ERJ-6GEYJ101V,Panasonic - ECG,Digikey,P100ACT-ND,RES 100 OHM 1/8W 5% 0805 SMD,2,20,"R6, R7",100
ERJ-6ENF1600V,Panasonic - ECG,Digikey,P160CCT-ND,RES 160 OHM 1/8W 1% 0805 SMD,4,40,"R18, R19, R20, R21",160
"74LVC1G3157GW,125",NXP Semiconductors,Digikey,568-7765-1-ND,IC MUX/DEMUX 2X1 SC88,4,40,"U14, U15, U16, U17",
EEU-TP1E821,Panasonic - ECG,Digikey,P14910-ND,CAP ALUM 820UF 25V 20% RADIAL,1,10,C1,820uF
ADS1204IRHBT,Texas Instruments,Digikey,296-17187-1-ND,IC MODULATOR DELTA-SIGMA 32-VQFN,1,10,U8,
CB3LV-3C-20M4800,CTS-Frequency Controls,Digikey,CTX274LVCT-ND,OSC 20.480 MHZ 3.3V SMD,1,10,XTAL,
LP3872ES-3.3/NOPB,National Semiconductor,Digikey,LP3872ES-3.3-ND,IC REG LDO 1.5A 3.3V TO-263-5,1,10,U1,
LP3872ES-5.0/NOPB,National Semiconductor,Digikey,LP3872ES-5.0-ND,IC REG LDO 1.5A 5.0V TO-263-5,2,20,"U2, U3",
LT1964ES5-5#TRMPBF,Linear Technology,Digikey,LT1964ES5-5#TRMPBFCT-ND,IC LDO REG NEG LOWNOISE TSOT23-5,1,10,U18,
LTC2604CGN#PBF,Linear Technology,Digikey,LTC2604CGN#PBF-ND,IC DAC 16BIT QUAD R-R OUT 16SSOP,1,10,U10,
SSF-LXHM250IGIGW,Lumex Opto/Components Inc,Digikey,67-1281-ND,LED 5MM 2-HI MATING RED/GRN PCMT,1,10,LED1,
MAX6126B25+,Maxim Integrated Products,Digikey,MAX6126B25+-ND,IC VREF SERIES PREC 2.5V 8-UMAX,1,10,U11,
MAX6126B50+,Maxim Integrated Products,Digikey,MAX6126B50+-ND,IC VREF SERIES PREC 5V 8-UMAX,1,10,U9,
MAX9939AUB+,Maxim Integrated Products,Digikey,MAX9939AUB+-ND,IC AMP PGA SPI VOS I/O 10MSOP,4,40,"U4, U5, U6, U7",
RCJ-011,CUI Inc,Digikey,CP-1400-ND,CONN RCA JACK METAL R/A BLK PCB,1,10,INB,
RCJ-012,CUI Inc,Digikey,CP-1401-ND,CONN RCA JACK METAL R/A RED PCB,1,10,INA,
RCJ-013,CUI Inc,Digikey,CP-1402-ND,CONN RCA JACK METAL R/A WHT PCB,1,10,INC,
RCJ-014,CUI Inc,Digikey,CP-1403-ND,CONN RCA JACK METAL R/A YEL PCB,1,10,IND,
RCJ-2221,CUI Inc,Digikey,CP-1433-ND,CONN RCA JACK DUAL R/A RED/BLK,1,10,OUTAB,
RCJ-2234,CUI Inc,Digikey,CP-1434-ND,CONN RCA JACK DUAL R/A WHT/YEL,1,10,OUTCD,
SDS-50J,CUI Inc,Digikey,CP-2350-ND,CONN DIN 5 PIN FEMALE PCB,2,20,"ENC_C, ENC_D",
TLC2262CPWR,Texas Instruments,Digikey,296-7096-1-ND,IC OPAMP GP R-R 730KHZ 8TSSOP,4,40,"U20, U21, U22, U23",
TLV2371IDBVR,Texas Instruments,Digikey,296-13057-1-ND,IC OPAMP GP R-R 3MHZ SGL SOT23-5,1,10,U19,
